Unnamed: 0.1,ms.value,dt_conf.value,dt_s.value,dtnorm.value,dtnorm_label.value,country.value,loc_wkt.value,oms.value,Unnamed: 0,source,source_id,prediction,ms_record_id.value,ms_source_id.value,site_hyper_id
3350,https://minmod.isi.edu/resource/mrds10131524,0.0269215553998947,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q482,U-M conduit nickel-copper- PGE,United States,POINT (-120.26288 48.40343),,1546.0,MRDS,10131524,1076.0,10131524,MRDS,https://minmod.isi.edu/resource/1076
3401,https://minmod.isi.edu/resource/mrds10096418,0.0334408432245254,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q482,U-M conduit nickel-copper- PGE,United States,POINT (-91.75572 47.80138),https://minmod.isi.edu/resource/usminmn00003,1301.0,MRDS,10096418,0.0,10096418,MRDS,https://minmod.isi.edu/resource/0
3762,https://minmod.isi.edu/resource/mrds10400290,0.0932435616850853,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q482,U-M conduit nickel-copper- PGE,United States,POINT (-87.856 46.746),https://minmod.isi.edu/resource/usminmi00001,2694.0,MRDS,10400290,21.0,10400290,MRDS,https://minmod.isi.edu/resource/21
3890,https://minmod.isi.edu/resource/mrds10056255,0.0300289988517761,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q486,Arc U-M intru- sion nickel- copper-PGE,United States,POINT (-109.79051 45.36964),https://minmod.isi.edu/resource/httpsw3idorgusgsz4530692dss9vbek1,767.0,MRDS,10056255,5.0,10056255,MRDS,https://minmod.isi.edu/resource/5
4157,https://minmod.isi.edu/resource/mrds10307845,0.0259923115372657,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q482,U-M conduit nickel-copper- PGE,United States,POINT (-154.40183 62.15846),,2668.0,MRDS,10307845,1450.0,10307845,MRDS,https://minmod.isi.edu/resource/1450
4502,https://minmod.isi.edu/resource/mrds10224703,0.0256817135959863,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q486,Arc U-M intru- sion nickel- copper-PGE,United States,POINT (-81.69452 41.47561),,2088.0,MRDS,10224703,187.0,10224703,MRDS,https://minmod.isi.edu/resource/187
4664,https://minmod.isi.edu/resource/mrds10112493,0.028271947056055,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q486,Arc U-M intru- sion nickel- copper-PGE,United States,POINT (-135.16026 57.02051),,1463.0,MRDS,10112493,1847.0,10112493,MRDS,https://minmod.isi.edu/resource/1847
5272,https://minmod.isi.edu/resource/mrds10002448,0.0265499129891395,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q486,Arc U-M intru- sion nickel- copper-PGE,United States,POINT (-134.95748 56.42388),,64.0,MRDS,10002448,1641.0,10002448,MRDS,https://minmod.isi.edu/resource/1641
5304,https://minmod.isi.edu/resource/site__bohemia-basin-basin-takanis-flapjack__mudd-and-jowitt-2022-nickel__szumigala-et-al-2011,1.0,expert,https://minmod.isi.edu/resource/Q481,U-M intrusion nickel-copper- PGE,USA,POINT (-136.43427 57.98471),https://minmod.isi.edu/resource/mrds10002326,2842.0,Mudd-and-Jowitt-2022-Nickel/Szumigala et al (2011),Bohemia Basin (Basin-Takanis-Flapjack),10.0,Bohemia Basin (Basin-Takanis-Flapjack),Mudd-and-Jowitt-2022-Nickel/Szumigala et al (2011),https://minmod.isi.edu/resource/10
5312,https://minmod.isi.edu/resource/mrds10277336,0.0278078764677047,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q482,U-M conduit nickel-copper- PGE,United States,POINT (-120.96558 47.45262),https://minmod.isi.edu/resource/mrds10253175,2414.0,MRDS,10277336,1663.0,10277336,MRDS,https://minmod.isi.edu/resource/1663
5329,https://minmod.isi.edu/resource/site__northmet-dunka-road__mudd-and-jowitt-2022-nickel__aif-2018,1.0,expert,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,USA,POINT (-92 47.6),https://minmod.isi.edu/resource/mrds10082831,2837.0,Mudd-and-Jowitt-2022-Nickel/AIF 2018,NorthMet (Dunka Road),4.0,NorthMet (Dunka Road),Mudd-and-Jowitt-2022-Nickel/AIF 2018,https://minmod.isi.edu/resource/4
5712,https://minmod.isi.edu/resource/mrds10082828,0.02587297745049,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q481,U-M intrusion nickel-copper- PGE,United States,POINT (-92.1524 47.09749),https://minmod.isi.edu/resource/mrds10082827,1156.0,MRDS,10082828,1702.0,10082828,MRDS,https://minmod.isi.edu/resource/1702
5714,https://minmod.isi.edu/resource/site__snipe-bay__mudd-and-jowitt-2022-nickel__szumigala-et-al-2011,1.0,expert,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,USA,POINT (-134.95753 56.42213),https://minmod.isi.edu/resource/mrds10024471,2861.0,Mudd-and-Jowitt-2022-Nickel/Szumigala et al (2011),Snipe Bay,6.0,Snipe Bay,Mudd-and-Jowitt-2022-Nickel/Szumigala et al (2011),https://minmod.isi.edu/resource/6
5767,https://minmod.isi.edu/resource/mrds10121550,0.035005584359169,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q486,Arc U-M intru- sion nickel- copper-PGE,United States,POINT (-88.41675 47.25),https://minmod.isi.edu/resource/mrds10069268,1503.0,MRDS,10121550,466.0,10121550,MRDS,https://minmod.isi.edu/resource/466
5948,https://minmod.isi.edu/resource/mrds10305609,0.0312202330678701,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q482,U-M conduit nickel-copper- PGE,United States,POINT (-110.0455 45.40682),https://minmod.isi.edu/resource/mrds10048509,2641.0,MRDS,10305609,1582.0,10305609,MRDS,https://minmod.isi.edu/resource/1582
6741,https://minmod.isi.edu/resource/mrds10048507,0.0269321426749229,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q486,Arc U-M intru- sion nickel- copper-PGE,United States,POINT (-109.83551 45.37409),https://minmod.isi.edu/resource/mrds10093103,709.0,MRDS,10048507,695.0,10048507,MRDS,https://minmod.isi.edu/resource/695
6953,https://minmod.isi.edu/resource/mrds60001102,0.0565359145402908,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q476,Komatiite nickel-copper-PGE,United States,POINT (-105.25056 36.62504),,2781.0,MRDS,60001102,995.0,60001102,MRDS,https://minmod.isi.edu/resource/995
7021,https://minmod.isi.edu/resource/mrds10002338,0.0251224599778652,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q481,U-M intrusion nickel-copper- PGE,United States,POINT (-136.32093 57.79443),https://minmod.isi.edu/resource/mrds10002339,57.0,MRDS,10002338,358.0,10002338,MRDS,https://minmod.isi.edu/resource/358
7162,https://minmod.isi.edu/resource/mrds10000849,0.0253560319542884,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q486,Arc U-M intru- sion nickel- copper-PGE,United States,POINT (-144.26307 61.30908),https://minmod.isi.edu/resource/mrds10067539,14.0,MRDS,10000849,960.0,10000849,MRDS,https://minmod.isi.edu/resource/960
7316,https://minmod.isi.edu/resource/mrds10237669,0.0303931832313537,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q486,Arc U-M intru- sion nickel- copper-PGE,United States,POINT (-116.81757 35.03831),,2216.0,MRDS,10237669,1362.0,10237669,MRDS,https://minmod.isi.edu/resource/1362
7487,https://minmod.isi.edu/resource/mrds10283118,0.026096673682332,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q482,U-M conduit nickel-copper- PGE,United States,POINT (-136.36455 57.98721),,2504.0,MRDS,10283118,932.0,10283118,MRDS,https://minmod.isi.edu/resource/932
7570,https://minmod.isi.edu/resource/mrds10033789,0.0296725891530513,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q476,Komatiite nickel-copper-PGE,United States,POINT (-120.9077 39.44488),,307.0,MRDS,10033789,1860.0,10033789,MRDS,https://minmod.isi.edu/resource/1860
7618,https://minmod.isi.edu/resource/httpsw3idorgusgsz4530692xm7acjdk1,0.0573800690472126,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q482,U-M conduit nickel-copper- PGE,United States,POINT(-93.1 46.683),https://minmod.isi.edu/resource/mrds10038429,2865.0,https://w3id.org/usgs/z/4530692/XM7ACJDK,1,18.0,1,https://w3id.org/usgs/z/4530692/XM7ACJDK,https://minmod.isi.edu/resource/18
7659,https://minmod.isi.edu/resource/mrds10093105,0.0343249663710594,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q486,Arc U-M intru- sion nickel- copper-PGE,United States,POINT (-110.00691 45.40436),https://minmod.isi.edu/resource/mrds10048512,1231.0,MRDS,10093105,1524.0,10093105,MRDS,https://minmod.isi.edu/resource/1524
7676,https://minmod.isi.edu/resource/mrds10096185,0.0305159129202365,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,United States,POINT (-137.08545 58.83304),,1292.0,MRDS,10096185,206.0,10096185,MRDS,https://minmod.isi.edu/resource/206
7756,https://minmod.isi.edu/resource/mrds10082823,0.0286962576210498,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q482,U-M conduit nickel-copper- PGE,United States,POINT (-91.87185 47.67528),,1153.0,MRDS,10082823,71.0,10082823,MRDS,https://minmod.isi.edu/resource/71
7820,https://minmod.isi.edu/resource/mrds10278132,0.0354567542672157,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q486,Arc U-M intru- sion nickel- copper-PGE,United States,POINT (-90.77323 46.3344),https://minmod.isi.edu/resource/mrds10082891,2424.0,MRDS,10278132,1489.0,10278132,MRDS,https://minmod.isi.edu/resource/1489
7974,https://minmod.isi.edu/resource/mrds10069266,0.0293341875076293,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q482,U-M conduit nickel-copper- PGE,United States,POINT (-138.00215 58.99971),,978.0,MRDS,10069266,1941.0,10069266,MRDS,https://minmod.isi.edu/resource/1941
8292,https://minmod.isi.edu/resource/mrds10113716,0.0288563705980777,"algorithm predictions, SRI deposit type classification, v0b, 20240213",https://minmod.isi.edu/resource/Q482,U-M conduit nickel-copper- PGE,United States,POINT (-113.80111 36.84029),,1476.0,MRDS,10113716,1745.0,10113716,MRDS,https://minmod.isi.edu/resource/1745
